Fréquence (Hz)	Niveau (dB)
23.437500	-44.878345
46.875000	-54.913425
70.312500	-58.332180
93.750000	-59.198872
117.187500	-56.229481
140.625000	-39.289181
164.062500	-31.933483
187.500000	-30.771902
210.937500	-24.670553
234.375000	-23.440466
257.812500	-31.449198
281.250000	-44.776356
304.687500	-44.540318
328.125000	-37.686268
351.562500	-37.771755
375.000000	-39.788403
398.437500	-38.780746
421.875000	-35.166748
445.312500	-31.829275
468.750000	-31.985613
492.187500	-36.220955
515.625000	-39.787971
539.062500	-40.458809
562.500000	-40.490330
585.937500	-40.204685
609.375000	-39.892002
632.812500	-41.441628
656.250000	-41.832851
679.687500	-38.227512
703.125000	-37.467785
726.562500	-39.777523
750.000000	-42.921257
773.437500	-44.677032
796.875000	-46.317593
820.312500	-48.364937
843.750000	-44.841934
867.187500	-44.618259
890.625000	-43.305088
914.062500	-42.201656
937.500000	-42.253090
960.937500	-42.659435
984.375000	-43.688206
1007.812500	-42.106659
1031.250000	-42.199913
1054.687500	-45.130569
1078.125000	-46.257675
1101.562500	-44.694702
1125.000000	-44.374611
1148.437500	-44.820065
1171.875000	-40.820477
1195.312500	-41.171196
1218.750000	-45.428257
1242.187500	-46.891468
1265.625000	-48.387276
1289.062500	-50.554600
1312.500000	-53.700211
1335.937500	-45.710491
1359.375000	-42.807453
1382.812500	-44.885231
1406.250000	-44.807579
1429.687500	-45.746246
1453.125000	-43.617516
1476.562500	-43.298466
1500.000000	-41.121300
1523.437500	-42.093437
1546.875000	-46.014744
1570.312500	-48.830360
1593.750000	-51.555660
1617.187500	-50.875977
1640.625000	-49.638718
1664.062500	-51.178429
1687.500000	-52.086254
1710.937500	-52.947639
1734.375000	-53.496845
1757.812500	-54.945560
1781.250000	-56.122139
1804.687500	-56.115807
1828.125000	-53.713234
1851.562500	-52.128338
1875.000000	-50.864567
1898.437500	-53.606388
1921.875000	-56.253445
1945.312500	-58.220890
1968.750000	-58.722584
1992.187500	-56.983555
2015.625000	-54.593037
2039.062500	-54.555527
2062.500000	-53.346405
2085.937500	-51.002785
2109.375000	-46.833466
2132.812500	-47.933113
2156.250000	-51.187637
2179.687500	-53.731007
2203.125000	-54.074310
2226.562500	-52.845772
2250.000000	-50.178272
2273.437500	-49.414688
2296.875000	-49.725147
2320.312500	-46.901062
2343.750000	-43.317596
2367.187500	-43.847404
2390.625000	-49.733681
2414.062500	-53.196754
2437.500000	-53.024918
2460.937500	-54.062851
2484.375000	-52.880962
2507.812500	-51.807556
2531.250000	-52.251408
2554.687500	-52.694881
2578.125000	-52.035725
2601.562500	-55.489315
2625.000000	-58.314701
2648.437500	-56.610489
2671.875000	-56.701786
2695.312500	-56.425900
2718.750000	-55.180153
2742.187500	-54.861038
2765.625000	-55.207767
2789.062500	-55.970341
2812.500000	-52.627060
2835.937500	-53.446655
2859.375000	-58.324245
2882.812500	-53.129906
2906.250000	-53.610176
2929.687500	-55.558212
2953.125000	-53.973141
2976.562500	-55.694859
3000.000000	-56.668396
3023.437500	-55.520992
3046.875000	-55.658260
3070.312500	-57.224052
3093.750000	-59.059315
3117.187500	-55.966740
3140.625000	-55.139767
3164.062500	-55.919186
3187.500000	-57.308857
3210.937500	-57.299477
3234.375000	-56.732498
3257.812500	-56.562534
3281.250000	-56.552826
3304.687500	-58.248901
3328.125000	-59.477509
3351.562500	-58.771358
3375.000000	-61.106270
3398.437500	-60.190159
3421.875000	-59.952660
3445.312500	-61.335602
3468.750000	-59.990673
3492.187500	-60.026527
3515.625000	-59.844711
3539.062500	-61.313259
3562.500000	-62.379902
3585.937500	-63.057549
3609.375000	-63.475121
3632.812500	-63.480320
3656.250000	-63.615692
3679.687500	-63.812111
3703.125000	-60.707325
3726.562500	-60.089241
3750.000000	-60.967926
3773.437500	-61.633564
3796.875000	-61.542919
3820.312500	-62.203758
3843.750000	-62.419369
3867.187500	-60.053642
3890.625000	-61.811749
3914.062500	-63.069790
3937.500000	-61.198879
3960.937500	-59.525196
3984.375000	-58.740952
4007.812500	-59.061455
4031.250000	-61.858131
4054.687500	-61.266846
4078.125000	-61.265522
4101.562500	-63.519920
4125.000000	-63.774666
4148.437500	-62.883987
4171.875000	-62.921093
4195.312500	-62.088303
4218.750000	-60.680031
4242.187500	-59.758408
4265.625000	-57.472618
4289.062500	-57.207073
4312.500000	-60.230904
4335.937500	-61.594414
4359.375000	-62.623028
4382.812500	-62.368614
4406.250000	-59.243500
4429.687500	-58.356457
4453.125000	-59.380127
4476.562500	-60.840187
4500.000000	-62.785988
4523.437500	-59.848446
4546.875000	-59.712379
4570.312500	-63.357128
4593.750000	-67.184914
4617.187500	-68.903770
4640.625000	-65.042023
4664.062500	-65.062843
4687.500000	-64.127602
4710.937500	-63.724892
4734.375000	-68.994400
4757.812500	-65.188110
4781.250000	-68.748466
4804.687500	-76.820320
4828.125000	-81.503891
4851.562500	-75.011215
4875.000000	-66.306992
4898.437500	-66.316788
4921.875000	-71.027901
4945.312500	-69.898453
4968.750000	-66.142342
4992.187500	-65.268272
5015.625000	-68.544212
5039.062500	-73.496986
5062.500000	-67.607620
5085.937500	-64.967972
5109.375000	-65.393600
5132.812500	-66.865723
5156.250000	-66.184532
5179.687500	-64.348244
5203.125000	-65.220139
5226.562500	-69.649559
5250.000000	-65.698883
5273.437500	-66.744034
5296.875000	-68.943787
5320.312500	-65.919327
5343.750000	-64.961792
5367.187500	-66.157776
5390.625000	-71.894600
5414.062500	-85.065941
5437.500000	-80.105392
5460.937500	-78.317421
5484.375000	-78.672348
5507.812500	-81.018097
5531.250000	-77.902367
5554.687500	-73.413101
5578.125000	-71.874619
5601.562500	-74.907692
5625.000000	-82.618568
5648.437500	-88.357880
5671.875000	-90.618820
5695.312500	-92.237747
5718.750000	-97.307182
5742.187500	-87.622536
5765.625000	-77.340454
5789.062500	-75.983841
5812.500000	-82.696617
5835.937500	-92.403450
5859.375000	-94.618515
5882.812500	-95.675049
5906.250000	-95.442322
5929.687500	-92.164238
5953.125000	-90.590012
5976.562500	-91.256805
6000.000000	-91.364304
6023.437500	-92.866875
6046.875000	-96.790047
6070.312500	-95.793182
6093.750000	-90.983124
6117.187500	-94.876511
6140.625000	-85.278648
6164.062500	-79.825981
6187.500000	-80.150314
6210.937500	-84.669365
6234.375000	-87.078163
6257.812500	-83.522842
6281.250000	-80.559525
6304.687500	-78.962502
6328.125000	-77.989578
6351.562500	-75.660614
6375.000000	-73.085381
6398.437500	-72.236458
6421.875000	-73.564484
6445.312500	-76.272743
6468.750000	-77.438950
6492.187500	-75.465561
6515.625000	-73.856926
6539.062500	-73.485878
6562.500000	-73.794983
6585.937500	-75.046936
6609.375000	-77.569466
6632.812500	-79.694618
6656.250000	-80.417084
6679.687500	-82.087296
6703.125000	-83.903290
6726.562500	-84.530907
6750.000000	-85.226990
6773.437500	-87.959572
6796.875000	-90.589653
6820.312500	-91.155731
6843.750000	-94.419777
6867.187500	-98.251366
6890.625000	-101.945190
6914.062500	-98.322548
6937.500000	-94.078445
6960.937500	-91.814751
6984.375000	-94.403107
7007.812500	-96.537643
7031.250000	-95.894867
7054.687500	-93.325546
7078.125000	-90.670090
7101.562500	-92.130814
7125.000000	-93.982437
7148.437500	-93.573280
7171.875000	-85.077736
7195.312500	-80.931267
7218.750000	-77.582214
7242.187500	-72.376877
7265.625000	-72.722450
7289.062500	-80.282654
7312.500000	-82.866844
7335.937500	-81.921539
7359.375000	-83.925957
7382.812500	-75.731140
7406.250000	-71.756447
7429.687500	-71.207855
7453.125000	-71.548874
7476.562500	-73.401146
7500.000000	-77.987648
7523.437500	-77.431023
7546.875000	-76.222549
7570.312500	-74.171173
7593.750000	-71.301414
7617.187500	-69.136230
7640.625000	-69.943710
7664.062500	-70.903221
7687.500000	-73.381859
7710.937500	-73.175865
7734.375000	-71.799805
7757.812500	-72.058067
7781.250000	-72.572685
7804.687500	-69.319641
7828.125000	-68.910759
7851.562500	-73.704834
7875.000000	-74.762260
7898.437500	-69.378181
7921.875000	-70.801071
